source	target	weight
CLK1	SRPK2	1
CLK1	CLK2	1
SRPK2	CLK2	1
CLK1	CLK3	1
SRPK2	CLK3	1
CLK2	CLK3	1
CLK1	CLK4	1
SRPK2	CLK4	1
CLK2	CLK4	1
CLK3	CLK4	1
CLK1	PRPF4B	1
SRPK2	PRPF4B	1
CLK2	PRPF4B	1
CLK3	PRPF4B	1
CLK4	PRPF4B	1
CLK1	PSKH1	1
SRPK2	PSKH1	1
CLK2	PSKH1	1
CLK3	PSKH1	1
CLK4	PSKH1	1
PRPF4B	PSKH1	1
CLK1	SRPK1	1
SRPK2	SRPK1	1
CLK2	SRPK1	1
CLK3	SRPK1	1
CLK4	SRPK1	1
PRPF4B	SRPK1	1
PSKH1	SRPK1	1
TAF1	TAF1L	1
AURKB	PLK4	1
AURKB	AURKA	1
PLK4	AURKA	1
GUCY2F	NPR2	1
GUCY2F	NPR1	1
NPR2	NPR1	1
GUCY2F	GUCY2D	1
NPR2	GUCY2D	1
NPR1	GUCY2D	1
PRKG2	PRKG1	1
PKN2	WNK1	1
ROR2	HIPK2	1
CSNK1G2	CSNK1G3	1
CSNK1G2	CSNK1G1	1
CSNK1G3	CSNK1G1	1
EPHA4	EPHB1	1
EPHA1	EPHB6	1
EPHA1	EPHB4	1
EPHB6	EPHB4	1
EPHA1	EPHA2	1
EPHB6	EPHA2	1
EPHB4	EPHA2	1
EPHA1	EPHA3	1
EPHB6	EPHA3	1
EPHB4	EPHA3	1
EPHA2	EPHA3	1
EPHA1	EPHA5	1
EPHB6	EPHA5	1
EPHB4	EPHA5	1
EPHA2	EPHA5	1
EPHA3	EPHA5	1
EPHA1	EPHA6	1
EPHB6	EPHA6	1
EPHB4	EPHA6	1
EPHA2	EPHA6	1
EPHA3	EPHA6	1
EPHA5	EPHA6	1
EPHA1	EPHA7	1
EPHB6	EPHA7	1
EPHB4	EPHA7	1
EPHA2	EPHA7	1
EPHA3	EPHA7	1
EPHA5	EPHA7	1
EPHA6	EPHA7	1
EPHA1	EPHA8	1
EPHB6	EPHA8	1
EPHB4	EPHA8	1
EPHA2	EPHA8	1
EPHA3	EPHA8	1
EPHA5	EPHA8	1
EPHA6	EPHA8	1
EPHA7	EPHA8	1
EPHA1	EPHB3	1
EPHB6	EPHB3	1
EPHB4	EPHB3	1
EPHA2	EPHB3	1
EPHA3	EPHB3	1
EPHA5	EPHB3	1
EPHA6	EPHB3	1
EPHA7	EPHB3	1
EPHA8	EPHB3	1
STK3	TAOK2	1
MAP3K6	MAP4K4	1
MAP3K6	MAP4K3	1
MAP4K4	MAP4K3	1
MAP3K6	MAP3K13	1
MAP4K4	MAP3K13	1
MAP4K3	MAP3K13	1
RPS6KA4	MAP3K10	1
SGK3	SGK2	1
GRK5	GRK6	1
PRKY	PRKX	1
PHKG1	PHKG2	1
TEK	MERTK	1
CAMKK2	CAMKK1	1
ULK3	ULK2	1
PRKAA1	PRKAA2	1
PDK4	PDK3	1
STK39	PRKD2	1
DAPK2	DAPK3	1
DAPK2	DAPK1	1
DAPK3	DAPK1	1
CAMK2B	CAMK2G	0.941176471
CAMK2G	CAMK2D	0.941176471
CAMK2B	CAMK2D	0.888888889
ACVR1C	ACVR1B	0.875
MAP3K3	MAP3K2	0.875
AKT3	AKT2	0.861111111
