source	target	weight
PIM1	PAK3	0.385542169
CDK19	GRK4	0.378787879
CHEK2	STK40	0.373831776
STK10	CDK19	0.369863014
KALRN	NEK6	0.365217391
CAMK1D	FGFR2	0.364485981
EPHA2	PIM1	0.363636364
CDK17	DSTYK	0.363636364
MAPK1	WEE1	0.358695652
CDC7	RIOK2	0.357142857
BCR	TNIK	0.353846154
PRKCE	HIPK2	0.353535354
CDKL3	TRIB3	0.352941176
STK40	EIF2AK3	0.352272727
AKT2	STK4	0.352272727
EPHA4	PRKCE	0.350515464
PIM1	PRKCE	0.348484848
IGF1R	CSNK2A1	0.347826087
MAP4K4	PIM1	0.344
TNK2	BRD3	0.342857143
IGF1R	PRKCE	0.342342342
NEK6	PRKCZ	0.342342342
IGF1R	PIM1	0.341269841
TRIO	PRKCE	0.34
KALRN	PRKCZ	0.34
CHEK2	EIF2AK3	0.339805825
EIF2AK1	MAPK13	0.339622642
FGFR2	EPHB1	0.339622642
WEE1	ACVR2A	0.338842975
PRKAA1	MAST4	0.338461538
CDK19	PRPF4B	0.338028169
PAK3	KALRN	0.337748344
TRIB1	PRKCE	0.336065574
CAMK2D	FGFR4	0.333333333
GRK6	FYN	0.333333333
NLK	GSK3B	0.333333333
PDIK1L	SRMS	0.333333333
WEE1	PIM1	0.333333333
WEE1	TNK2	0.333333333
BRD3	CDC42BPB	0.333333333
PKDCC	AKT1	0.333333333
PAK3	NEK6	0.331288344
PAK3	TLK1	0.331210191
EPHA2	PAK3	0.331081081
TLK1	FGFR1	0.330434783
IGF1R	TNK2	0.329787234
HIPK2	ROCK2	0.329411765
PAK3	FGFR1	0.329032258
MAP3K1	MAPK6	0.328947368
PAK4	MAPK6	0.328947368
LTK	TYK2	0.328571429
CSNK1D	JAK1	0.328571429
TP53RK	TBK1	0.328571429
CDK1	CHEK1	0.328571429
MAP2K3	CHEK2	0.327272727
SMG1	WEE1	0.326086957
IGF1R	GRK5	0.326086957
DDR2	CSNK1D	0.325301205
MAP3K1	CDK19	0.325
CAMK2B	NEK6	0.324324324
PDK1	CDC7	0.324324324
TYK2	ADCK1	0.323943662
TP53RK	RIOK2	0.323943662
RIOK2	AURKA	0.323943662
PRKCE	ACVR1	0.323809524
