source	target	weight
EPHA6	EPHA5	0.888888889
PRKY	PRKACG	0.851851852
PHKG1	PHKG2	0.80952381
EPHA1	EPHA6	0.8
PRKX	PRKY	0.793103448
PRKX	PRKACG	0.75
EPHA1	EPHA5	0.727272727
EPHA6	EPHA8	0.727272727
TYK2	JAK3	0.675675676
EPHA5	EPHA8	0.666666667
CSNK1G3	CSNK1G1	0.666666667
MYLK2	MYLK3	0.65625
PDGFRA	PDGFRB	0.653225806
JAK1	TYK2	0.631578947
EPHA7	EPHA6	0.615384615
EPHA1	EPHA8	0.615384615
JAK1	JAK3	0.610294118
JAK2	JAK1	0.577380952
EPHA7	EPHA5	0.571428571
MAPK12	MAPK11	0.571428571
KDR	FLT1	0.561643836
FLT1	FLT4	0.555555556
JAK2	TYK2	0.546666667
JAK2	JAK3	0.539473684
MAPK9	MAPK10	0.534653465
EPHA7	EPHA1	0.533333333
PAK6	PAK4	0.529411765
AKT2	AKT3	0.50877193
PRKCB	PRKCG	0.507352941
EPHA7	EPHA8	0.5
MAP2K6	MAP2K3	0.5
KIAA1804	RIOK1	0.5
CAMKV	DCLK1	0.5
STK31	MYO3B	0.5
MAPK1	MAPK3	0.498305085
FGFR2	PDGFRA	0.489795918
PDGFRA	IGF1R	0.489361702
PDGFRA	MET	0.488188976
PRKACB	PRKX	0.483333333
FGFR2	FGFR1	0.48
MST4	STK25	0.476190476
FGFR1	PDGFRA	0.474576271
PAK7	PAK6	0.472222222
FGFR3	FGFR4	0.46875
PDGFRB	IGF1R	0.463855422
PDGFRB	MET	0.460526316
ROCK2	ROCK1	0.451612903
PRKACB	PRKACG	0.45
FGFR4	FGFR2	0.447761194
MAPK8	MAPK9	0.435064935
CAMK2B	CAMK2D	0.423728814
IGF1R	MET	0.409937888
EPHA5	EPHA3	0.409090909
CSNK2A2	CSNK2A1	0.406542056
KDR	FLT4	0.402597403
CHUK	IKBKB	0.401273885
CDKL1	TSSK4	0.4
PDK3	PDK4	0.4
FGFR1	PDGFRB	0.398648649
EPHA8	EPHA4	0.391304348
PRKACB	PRKY	0.383333333
NTRK2	NTRK1	0.382352941
EPHA6	EPHA4	0.380952381
MKNK1	MKNK2	0.379310345
FGFR2	PDGFRB	0.376923077
TLK2	TLK1	0.375
EPHA8	EPHA3	0.375
ACVR1C	ACVR1B	0.375
CAMK2D	CAMK2G	0.375
FGFR1	MET	0.374100719
PAK7	PAK4	0.369565217
