source	target	weight
CDC42BPG	TNK1	1
SIK3	SIK3	1
TP53RK	STK17A	1
PTK2	TRIO	1
NUAK2	STK3	1
CSNK1A1L	CSNK1G3	0.909090909
PHKG1	PHKG2	0.833333333
SGK3	SGK2	0.833333333
CSNK1G3	CSNK1G2	0.769230769
CAMK1G	CAMK1D	0.75
CSNK1A1L	CSNK1G2	0.714285714
CDK1	CDK1	0.67962963
PDK3	PDK4	0.666666667
STK24	STK38L	0.666666667
PDK1	PDPK1	0.625
CAMK2B	CAMK2D	0.513513514
PIM2	PIM3	0.5
PIM3	PAK7	0.5
RPS6KB1	SIK1	0.5
SIK1	SIK3	0.5
SIK1	SIK3	0.5
SIK3	CDK18	0.5
SIK3	CDK18	0.5
TRIM28	CDK18	0.5
CDK18	CDK17	0.5
CAMK2G	CAMK2D	0.5
TLK1	GSG2	0.5
IRAK4	IRAK2	0.5
FLT1	FLT1	0.5
TIE1	TEK	0.5
CAMK2G	CAMK2B	0.487179487
MAPK1	MAPK3	0.474025974
CSNK1G1	CSNK1G3	0.434782609
KSR2	KSR1	0.428571429
BRSK1	BRSK2	0.428571429
LRRK2	STK10	0.428571429
TBK1	IKBKE	0.428571429
CAMK1	CAMK4	0.424242424
CSNK1G1	CSNK1A1L	0.416666667
CAMKK2	CAMKK1	0.4
PDK2	PDK3	0.4
PRKAA1	PRKAA2	0.386363636
CSNK1G1	CSNK1G2	0.384615385
OXSR1	STK39	0.375
ATM	PRKDC	0.373584906
PDGFRA	PDGFRB	0.36
GSK3B	CDK2	0.358053302
CDK1	GSK3B	0.337320574
GSK3B	MAPK14	0.337239583
CDK8	BMPR1A	0.333333333
EIF2AK4	EIF2AK1	0.333333333
PRPF4B	PRPF4B	0.333333333
PRPF4B	TAOK2	0.333333333
MKNK2	MKNK1	0.333333333
BRAF	RAF1	0.333333333
PIM2	PAK7	0.333333333
SIK2	SIK1	0.333333333
SIK3	TRIM28	0.333333333
SIK3	TRIM28	0.333333333
SIK3	CDK17	0.333333333
SIK3	CDK17	0.333333333
TRIM28	CDK17	0.333333333
TSSK6	SNRK	0.333333333
GSG2	AURKC	0.333333333
SMG1	TP53RK	0.333333333
SMG1	STK17A	0.333333333
TP53RK	EPHA3	0.333333333
STK17A	EPHA3	0.333333333
PTK2	FLT4	0.333333333
TRIO	FLT4	0.333333333
FLT4	MET	0.333333333
PDK2	PDK4	0.333333333
STK25	MST4	0.333333333
LATS1	NUAK2	0.333333333
LATS1	STK3	0.333333333
NEK9	NEK7	0.333333333
TESK1	TESK2	0.333333333
TESK1	LIMK2	0.333333333
TESK2	LIMK2	0.333333333
LIMK2	LIMK1	0.333333333
CDK1	GSK3B	0.328296703
CHUK	IKBKB	0.315789474
BRAF	ARAF	0.3
WNK4	WNK1	0.3
FGFR3	FGFR4	0.3
MAP3K10	MAP3K12	0.285714286
STK11	NUAK1	0.282608696
CDK2	MAPK14	0.26674938
MAP2K7	MAP2K4	0.266666667
ROCK2	ROCK1	0.266666667
CAMK2A	CAMK2G	0.26
MAPK12	MAPK7	0.259259259
TGFBR1	TGFBR2	0.25
MAP3K13	EIF2AK3	0.25
TAOK2	TAOK1	0.25
HSPB8	KSR2	0.25
CDC42BPG	ARAF	0.25
TNK1	ARAF	0.25
ARAF	PIM3	0.25
STK39	WNK4	0.25
PRKCQ	SIK1	0.25
SIK1	SIK2	0.25
SIK1	SIK1	0.25
SIK1	CDK18	0.25
PNCK	TSSK6	0.25
TLK1	AURKC	0.25
DYRK3	TSSK4	0.25
TP53RK	TAF1	0.25
STK17A	TAF1	0.25
TSSK4	TAF1	0.25
EPHB6	EPHB1	0.25
FLT4	FLT3	0.25
TRIB3	PKN2	0.25
PKMYT1	LATS1	0.25
STK3	STK24	0.25
MAST3	FRK	0.25
MAPK6	RIPK4	0.25
BUB1B	BUB1	0.25
CAMK2A	CAMK2D	0.24
CDK1	CDK2	0.236929922
CDK1	MAPK14	0.234993614
CDK1	MAPK14	0.234493192
MAP2K1	MAP2K2	0.233333333
CAMK2A	CAMK2B	0.232323232
MAPK8	GSK3B	0.231222386
DAPK1	DAPK2	0.230769231
CSNK2A1	CSNK2A2	0.230263158
SIK3	MARK3	0.222222222
