source	target	weight
RIOK1	RIOK3	0.874748738
MAP2K1	MAP2K2	0.846786128
EGFR	ERBB4	0.815500538
KIT	PDGFRB	0.810014875
FGFR2	FGFR3	0.796187987
DAPK3	DAPK1	0.791331221
CLK4	CLK1	0.78713195
HIPK2	HIPK3	0.781196404
DAPK2	DAPK3	0.773637135
PRKAA2	PRKAA1	0.767510697
HCK	FGR	0.766510213
LYN	HCK	0.7643964
CAMK2D	CAMK2G	0.762783603
EPHB1	EPHA5	0.759690921
ULK1	ULK2	0.759544027
HCK	YES1	0.758126285
FYN	FGR	0.757643967
FGR	YES1	0.756388834
FGR	SRC	0.756236062
ABL2	FGR	0.754635789
YES1	SRC	0.753681978
TAOK3	TAOK1	0.752467566
TNIK	MINK1	0.749182226
HIPK1	HIPK2	0.749144117
RIOK3	PIP4K2B	0.748513344
FYN	ABL2	0.747619406
HCK	SRC	0.747054967
LCK	BLK	0.744774094
EPHB4	EPHB1	0.741994054
EPHB4	EPHA5	0.740795882
IGF1R	INSRR	0.73547207
PRKACB	PRKACA	0.731972167
NTRK2	NTRK1	0.731270011
DAPK2	DAPK1	0.730857759
BMP2K	RIOK1	0.729979712
SRC	LCK	0.728205797
RIOK1	PIP4K2B	0.726582938
HCK	BLK	0.726316562
BMP2K	RIOK3	0.725256733
LYN	FGR	0.723046993
CDK11B	CDK11A	0.72273231
HIPK4	HIPK1	0.722508269
PIP5K1A	RIOK1	0.72152508
AAK1	RIOK3	0.720211406
FYN	HCK	0.719411821
FYN	YES1	0.718869485
LYN	YES1	0.717867026
PIP5K1A	RIOK3	0.717581467
ABL2	LYN	0.71718209
AAK1	RIOK1	0.717127434
MAP4K4	TNIK	0.715805502
PIP4K2B	SRPK3	0.715453767
FYN	SIK1	0.71469718
EPHA2	EPHB4	0.714662908
ABL2	SRC	0.713059473
FLT1	KDR	0.709376043
FYN	SRC	0.709086284
CLK1	CLK2	0.708367709
AAK1	BMP2K	0.708349345
PIP5K1A	PIP4K2B	0.707867544
PIM3	PIM1	0.70683218
FYN	LYN	0.705929738
FGR	SIK1	0.704201328
HCK	LCK	0.703231051
PRKD1	PRKD2	0.702627377
HIPK4	HIPK2	0.702382681
HIPK1	HIPK3	0.701060797
RIOK3	SRPK3	0.699946684
SRC	BLK	0.699026506
MARK4	MARK1	0.698720594
RIOK1	SRPK3	0.697179712
CDK19	CDK8	0.697162104
KIT	CSF1R	0.69538273
PDGFRB	CSF1R	0.694561831
CAMK2A	CAMK2D	0.693202824
ABL2	HCK	0.692554932
ABL2	YES1	0.692445645
AURKB	AURKC	0.691767802
CAMK2A	CAMK2B	0.690293413
CAMK2B	CAMK2D	0.689964844
NEK6	NEK7	0.688382265
MAP2K5	EPHB6	0.686915748
EPHA2	EPHB1	0.685887443
YES1	LCK	0.685692748
MAP4K3	MAP4K1	0.685289869
BMP2K	PIP5K1A	0.683681563
MAP3K7	MAP4K2	0.682552765
SRPK3	GRK4	0.682342875
MAPK10	MAPK9	0.681645603
FRK	FYN	0.681643947
FRK	ABL2	0.679419953
LYN	SRC	0.678520866
LYN	LCK	0.675848566
EPHA6	EPHA2	0.673420188
EPHA6	EPHB4	0.672252787
PRKAA1	PAK3	0.671959131
FGFR1	FGFR2	0.671713607
CSF1R	LCK	0.670221832
MAP2K5	MAP3K19	0.670110759
FGR	LCK	0.669797406
MERTK	AXL	0.667343631
YES1	BLK	0.665829425
SRPK1	RIOK3	0.66524828
PIP5K1A	SRPK3	0.663815695
FGR	BLK	0.662305707
AXL	SLK	0.662153426
MAP3K11	MAP3K9	0.661661096
ABL2	SIK1	0.661420178
CSNK2A1	CSNK2A2	0.660537415
TAOK1	CDK7	0.660136498
MAP3K19	IRAK1	0.659501033
