source	target	weight
RIPK3	MLKL	1
TAOK3	TAOK1	1
ACVR1B	WNK2	1
MAPK3	MAPK1	0.992788462
AKT1	MAPK1	0.941724942
AKT1	MAPK3	0.941656943
GSK3B	AKT1	0.833729216
MAPK1	SRC	0.826968974
MAPK3	SRC	0.824582339
GSK3B	MAPK1	0.815820543
GSK3B	MAPK3	0.815602837
AKT1	SRC	0.808235294
MAPK14	MAPK3	0.806722689
MAPK14	MAPK1	0.802631579
MAPK14	AKT1	0.788416076
RPS6KB1	AKT1	0.7695962
RPS6KB1	MAPK1	0.756213018
RPS6KB1	MAPK3	0.753846154
GSK3A	GSK3B	0.746498599
GSK3B	SRC	0.745972739
RPS6KB1	GSK3B	0.743918054
SRC	PTK2	0.741424802
MAPK14	GSK3B	0.739949749
MAPK14	SRC	0.733333333
MAPK3	PTK2	0.728793309
MAPK1	PTK2	0.727056019
RPS6KB1	MAPK14	0.721862872
MAPK8	MAPK14	0.716066482
AKT1	PTK2	0.713780919
RPS6KB1	SRC	0.700125471
GSK3B	PTK2	0.692602041
CHEK2	CHEK1	0.673031026
MAPK8	MAPK3	0.668667467
MAPK14	PTK2	0.667953668
MAPK8	MAPK1	0.667065868
MAPK8	GSK3B	0.666666667
MAPK8	AKT1	0.666269368
RPS6KB1	PTK2	0.664052288
SRC	EGFR	0.657370518
GSK3A	RPS6KB1	0.656944444
MAPK8	RPS6KB1	0.656675749
IKBKB	CHUK	0.655826558
MTOR	RPS6KB1	0.64573991
ATM	CHEK2	0.645232816
GSK3A	AKT1	0.640811456
MAPK1	EGFR	0.639285714
GSK3A	MAPK3	0.637125749
MAPK3	EGFR	0.636904762
GSK3A	MAPK1	0.635603345
GSK3A	PTK2	0.63559322
AKT1	EGFR	0.632821724
ATM	CHEK1	0.631465517
GSK3A	SRC	0.629434954
GSK3A	MAPK14	0.627844712
MAPK8	SRC	0.623393316
PTK2	EGFR	0.621696801
RPS6KB1	EGFR	0.616419919
PRKAA1	RPS6KB1	0.611420613
GSK3B	EGFR	0.602809706
PRKAA1	GSK3B	0.593421053
MAPK14	EGFR	0.591677503
CHEK1	CDK1	0.585513078
MAPK8	PTK2	0.585234899
GSK3A	MAPK8	0.584172662
STK39	OXSR1	0.583333333
PRKAA1	AKT1	0.582742317
MTOR	PRKAA1	0.57807309
PRKAA1	MAPK14	0.577540107
PRKAA1	MAPK3	0.577014218
PRKAA1	MAPK1	0.575650118
MTOR	GSK3A	0.575079872
PRKAA1	PTK2	0.569230769
PRKAA1	SRC	0.567708333
PRKAA1	GSK3A	0.564564565
ATM	CDK1	0.561205273
PRKAA1	MAPK8	0.557017544
MTOR	MAPK14	0.556786704
MTOR	GSK3B	0.556603774
RAF1	MAP2K1	0.543438078
MTOR	MAPK8	0.540458015
CHEK2	CDK1	0.539840637
GSK3A	EGFR	0.538243626
MAPK8	EGFR	0.53601108
PTK2	RAF1	0.531295488
PTK2	PTK2B	0.531107739
CDK1	RPS6KB1	0.528913963
MTOR	AKT1	0.527380952
MTOR	MAPK3	0.521479714
MTOR	MAPK1	0.520238095
EGFR	RAF1	0.519379845
MAPK14	RAF1	0.518467852
STK4	STK3	0.518292683
SRC	PTK2B	0.517385257
RPS6KB1	RAF1	0.516039052
CDK1	MAPK14	0.514363885
MTOR	PTK2	0.514204545
SRC	RAF1	0.514018692
GRK7	GRK1	0.513513514
GSK3B	RAF1	0.513262599
MAPK14	RPS6KA1	0.509831461
MTOR	SRC	0.50656168
GSK3A	RPS6KA1	0.506430868
SRC	PRKCD	0.504840941
MAPK1	RAF1	0.503571429
MAPK3	RAF1	0.502979738
GSK3B	RPS6KA1	0.502717391
MAPK8	RPS6KA1	0.502347418
GSK3A	RAF1	0.502318393
EGFR	MAP2K1	0.501582278
GSK3B	MAP2K1	0.5
