source	target	weight
EPHA6	ERBB4	0.869568377
AKT3	CAMK1	0.869306767
ERBB4	CHEK1	0.867779965
ERBB4	AKT3	0.867763453
AKT3	ATM	0.867645088
CDK6	AKT3	0.866657449
ATM	CHEK1	0.866435436
AKT3	CHEK1	0.864522319
EPHA6	AKT3	0.863553981
CAMK1	ATM	0.863544029
ERBB4	ATM	0.86123863
EPHA6	CHEK1	0.859632384
ERBB4	CDK6	0.858879301
ERBB4	CAMK1	0.858272653
CDK6	CAMK1	0.858099922
EPHA6	CDK6	0.854667038
CHEK1	TGFBR2	0.854643648
AKT3	TGFBR2	0.854470332
CDK6	CHEK1	0.853407064
IGF1R	TRIO	0.852261175
INSR	EPHA6	0.851374079
EPHA6	TGFBR2	0.85134846
CDK6	ATM	0.850189141
ERBB4	TGFBR2	0.849067395
CHEK1	CHEK2	0.843947546
CAMK1	CHEK1	0.843912364
EPHA6	CAMK1	0.843155738
INSR	ERBB4	0.842491534
INSR	AKT3	0.842467502
AKT3	CHEK2	0.84208833
CDK6	TGFBR2	0.841292727
CAMK1	CDK10	0.840785581
INSR	CDK6	0.840023388
EPHA6	ATM	0.839388367
AKT3	MTOR	0.838992492
CHEK1	MTOR	0.837227886
MAPK14	DAPK3	0.836165972
MAPK9	EPHA6	0.834487142
DAPK3	SGK3	0.833338965
INSR	CHEK1	0.832926871
CAMK1	TGFBR2	0.832028301
CHEK1	YES1	0.831374965
AKT3	CDK10	0.831012764
ERBB4	CHEK2	0.83078976
ERBB4	MTOR	0.830747347
EPHA6	CDK10	0.829675246
AKT3	YES1	0.829274812
PIM3	IGF1R	0.829192591
DAPK3	FLT3	0.828993743
ATM	TGFBR2	0.82843916
AKT2	AKT3	0.82820636
MAPK9	AKT3	0.826347067
AKT2	ERBB4	0.826221841
TGFBR2	CHEK2	0.825008121
INSR	ATM	0.824352818
ROCK1	JAK1	0.824265434
MAPK9	CHEK1	0.824195346
CDK6	CHEK2	0.823887171
EPHA6	CHEK2	0.82342477
AKT2	EPHA6	0.823384489
CDK6	MTOR	0.822991968
TGFBR2	MTOR	0.822496986
TGFBR2	YES1	0.822423749
MAPK9	CDK6	0.821991902
ATM	CDK10	0.821932827
AKT2	CAMK1	0.821562675
AKT2	ATM	0.821462297
CDK6	YES1	0.820737819
AKT2	CHEK1	0.82061636
AKT2	CDK6	0.81974424
MAPK9	ERBB4	0.819583092
INSR	TGFBR2	0.819309544
C9ORF96	LCK	0.818864146
CAMK1	MTOR	0.818743229
CHEK1	CDK10	0.818598432
CDK2	AKT3	0.818210871
PDK1	BTK	0.818192082
ERBB4	YES1	0.817830413
FLT3	SGK3	0.817447265
ERBB4	CDK10	0.8171833
CDK2	CDK6	0.817047701
TGFBR2	CDK10	0.816863724
AKT2	TGFBR2	0.816393892
CHEK2	MTOR	0.8157012
CDK6	CDK10	0.815627636
CDK2	EPHA6	0.81541572
ATM	MTOR	0.815230954
MAPK9	TGFBR2	0.813774972
EPHA6	MTOR	0.813179459
ERBB3	GSK3A	0.812871811
RPS6KB2	IGF1R	0.812617551
ATM	CHEK2	0.812332274
EPHA6	YES1	0.81100018
INSR	CAMK1	0.810519886
MAPK9	ATM	0.810489986
CDK2	ATM	0.810455631
JAK1	PHKG2	0.810372468
ATM	YES1	0.810300831
MAPK9	INSR	0.809713976
CDK2	ERBB4	0.808249664
TRRAP	PRKCZ	0.806873048
INSR	CHEK2	0.805534847
MAPK9	CAMK1	0.805076988
ROCK1	PHKG2	0.803412088
CAMK1	CHEK2	0.803300971
GSK3A	EPHA6	0.802222606
INSR	MTOR	0.801852272
DDR1	JAK1	0.800975033
MAPK14	SGK3	0.800732442
CDK2	CAMK1	0.800476208
AKT2	MTOR	0.799918022
TRRAP	ULK1	0.799776794
INSR	YES1	0.7987593
RET	NRBP2	0.79794636
GSK3A	AKT3	0.797631137
AKT2	INSR	0.797626555
CAMK1	YES1	0.797148818
INSR	CDK10	0.797065427
SGK3	GSK3B	0.796984873
CDK2	CHEK1	0.796889753
CSK	CAMK1	0.795713681
GSK3A	ERBB4	0.795512122
PDPK1	JAK1	0.795042247
MST1R	RIOK3	0.794749485
CDK2	INSR	0.79413868
CHEK2	CDK10	0.793929117
MAPK9	CHEK2	0.793579121
CSK	EPHA6	0.79313708
CDK2	TGFBR2	0.79308833
CHEK2	YES1	0.7926298
CSK	CDK6	0.792132493
CSK	AKT3	0.791629212
FLT4	MAP2K4	0.791468714
CSK	ERBB4	0.791113284
PDPK1	ROCK1	0.790948746
SRPK1	MAST4	0.79078021
MAST4	NEK9	0.79070961
MAPK9	MTOR	0.790511676
AKT2	CHEK2	0.790151345
MTOR	CDK10	0.789631165
DAPK1	GRK5	0.789330367
PRKCZ	ULK1	0.789090227
ULK1	PAK3	0.788426791
CSNK1G2	DAPK3	0.78822982
C9ORF96	ATR	0.788216186
RPS6KB2	PIM3	0.787839278
STRADB	RET	0.787316312
CDK2	AKT2	0.786893738
ROCK1	RPS6KA3	0.786790763
MTOR	YES1	0.784789322
AKT2	MAPK9	0.784511548
CSNK1G2	MAPK14	0.783213427
CSK	ATM	0.783211891
ERBB4	MET	0.782951014
GSK3A	TGFBR2	0.782296234
CHEK1	MET	0.78203141
MAPK9	CDK10	0.78198619
CDK2	MTOR	0.781930127
GSK3A	CAMK1	0.781614592
MERTK	NEK6	0.781343815
PXK	ULK3	0.781186983
NRBP2	RPS6KA2	0.78108137
GSK3A	ATM	0.780765487
RPS6KA1	STK16	0.780573074
ATM	MET	0.780166341
GSK3A	CHEK1	0.779633147
GSK3A	CDK6	0.778933812
TRRAP	PAK3	0.778908016
MYLK2	PRKCZ	0.778534353
EPHA6	MET	0.778257356
PIM2	RPS6KA5	0.778248931
CDK10	YES1	0.777955119
YES1	MET	0.777893628
VRK3	C9ORF96	0.777554686
CDK16	TRRAP	0.777058771
CDK2	MAPK9	0.776912556
AKT2	YES1	0.776382605
PHKG2	RPS6KA3	0.776308925
MAPK9	YES1	0.776295911
RET	RPS6KA2	0.775627148
PLK4	RET	0.774954271
JAK1	RPS6KA3	0.774652877
MAPK14	FLT3	0.774399587
CDK6	MET	0.774270393
GSK3A	INSR	0.774265204
CSK	CHEK1	0.773983821
CSK	TGFBR2	0.773713915
AKT3	MET	0.773297689
INSR	MET	0.773291895
CDK2	CHEK2	0.772983159
GSK3A	AKT2	0.772915835
DDR1	PHKG2	0.772406092
CDK2	YES1	0.771114634
DDR1	ROCK1	0.770870479
PRKCZ	PAK3	0.76970189
CSNK1A1L	CAMK2D	0.768728514
CAMK1	MET	0.767981629
CSK	INSR	0.767747777
BTK	CDKL4	0.766919059
MAST4	ACVR1	0.766760588
AKT2	CDK10	0.766164038
TGFBR2	MET	0.766019894
CSK	AKT2	0.765831078
AXL	IGF1R	0.765800528
CDK16	PRKCZ	0.765542394
CSNK1E	IRAK2	0.765351998
MAST4	HIPK1	0.765039414
GSK3A	CHEK2	0.764984402
PDK2	CSNK1E	0.764664681
PAK3	DAPK1	0.764543624
MYLK2	PAK3	0.764418228
MERTK	CSNK1G3	0.764291284
CHEK2	MET	0.763186753
CSK	CDK2	0.762755943
RPS6KA5	TP53RK	0.762423172
BTK	EPHA3	0.761908521
GSK3A	CDK2	0.761888159
MAST4	SIK3	0.760678969
PDPK1	PHKG2	0.760614488
PIM2	TP53RK	0.758827202
GSK3A	MAPK9	0.758175156
ERBB3	AKT3	0.758062386
DAPK3	GSK3B	0.757353888
EIF2AK3	RIOK3	0.756947305
CSK	CHEK2	0.75579477
MAP3K8	RPS6KA1	0.755308732
CDK2	MET	0.755157413
LCK	ATR	0.754942862
DDR1	PDPK1	0.75478518
PIM3	TRIO	0.754194415
CSK	MAPK9	0.753892366
ACVR1	PRKCQ	0.753504668
GSK3A	CDK10	0.752649933
SNRK	MKNK1	0.751721907
GSK3A	MTOR	0.751563145
MTOR	MET	0.750913657
CIT	CSNK1G3	0.750762389
TRRAP	DAPK1	0.749597385
CSNK1G2	FLT3	0.749221376
VRK3	ATR	0.749089391
